# cm^-1, (cm^-1)^-1
5, 0.3
5, 0.2779689177101968
6, 0.218311717352415
6, 0.20246914132379248
6, 0.17994297853309482
7, 0.18266592128801432
7, 0.16187254025044723
8.000000000000007, 0.1490004472271914
8.000000000000007, 0.13117754919499106
9, 0.12573166368515207
9, 0.10741368515205724
10.000000000000007, 0.09998747763864044
10.000000000000007, 0.08191703935599282
11, 0.07028264758497316
11.999999999999993, 0.06038103756708413
13, 0.05642039355992845
13.999999999999993, 0.048499105545617205
15, 0.04181551878354206
15.999999999999993, 0.03612209302325575
17, 0.037359794275491964
17.999999999999993, 0.03636963327370307
19, 0.032161449016100185
19.999999999999993, 0.028943425760286245
21, 0.025725402504472306
22, 0.025725402504472306
23, 0.023002459749552784
24, 0.02547786225402504
25, 0.02770572450805009
26, 0.02770572450805009
27, 0.02721064400715567
27.999999999999993, 0.029686046511627928
28.999999999999993, 0.03067620751341682
29.999999999999993, 0.03166636851520571
30.999999999999993, 0.031171288014311294
31.999999999999993, 0.025725402504472306
32.99999999999999, 0.023992620751341676
33.99999999999999, 0.02250737924865831
34.99999999999999, 0.022012298747763892
35.99999999999999, 0.020527057245080527
36.99999999999999, 0.01953689624329158
37.99999999999999, 0.018794275491949897
38.99999999999999, 0.01928935599284437
39.99999999999999, 0.019784436493738844
40.99999999999999, 0.01953689624329158
41.99999999999999, 0.018794275491949897
42.99999999999999, 0.017309033989266587
43.99999999999999, 0.015081171735241539
63.99999999999998, 0.014586091234347065
65, 0.01582379248658322
66, 0.016566413237924904
67, 0.018546735241502688
67.99999999999997, 0.020527057245080527
69, 0.022012298747763892
70, 0.02448770125223615
71, 0.024982781753130623
71.99999999999997, 0.026715563506261197
73, 0.031171288014311294
74, 0.031913908765652976
75, 0.032408989266547394
75.99999999999997, 0.03389423076923076
77, 0.03636963327370307
78, 0.04082535778175311
79, 0.04627124329159216
80, 0.05221220930232562
81, 0.0574105545617174
82, 0.09008586762075135
82, 0.0725105098389982
83, 0.11038416815742397
83, 0.09429405187835421
84, 0.12795952593917712
85, 0.14355456171735242
86, 0.1586545169946333
87, 0.1707839892665474
88, 0.18291346153846155
89, 0.22821332737030411
89, 0.20741994633273703
90, 0.2381149373881932
90.99999999999997, 0.2363821556350626
92, 0.23019364937388193
93, 0.22821332737030411
94, 0.19776587656529515
95, 0.11583005366726298
96, 0.09157110912343472
97, 0.08117441860465113
98, 0.08934324686940967
99, 0.1287021466905188
99, 0.10914646690518784
100, 0.14751520572450805
101, 0.14924798747763865
102, 0.14083161896243293
103, 0.12350380143112702
104, 0.08909570661896243
105, 0.06929248658318427
106, 0.061123658318425755
107, 0.060133497316636864
108, 0.06260889982110912
109, 0.06236135957066191
110, 0.06384660107334528
111, 0.06458922182468696
112, 0.06236135957066191
113, 0.06186627906976744
114, 0.06483676207513417
115, 0.07523345259391773
116, 0.0858776833631485
117, 0.10048255813953488
118, 0.11805791592128803
119, 0.13489065295169947
120, 0.15741681574239713
121, 0.16830858676207514
122, 0.1697938282647585
123, 0.16187254025044723
124, 0.1534561717352415
125, 0.12276118067978534
126, 0.0997399373881932
127, 0.0905809481216458
127.99999999999997, 0.08043179785330945
129, 0.07300559033989268
130, 0.06582692307692306
131, 0.06211381932021465
132, 0.0598859570661896
133, 0.05716301431127013
134, 0.05765809481216455
135, 0.05765809481216455
135.99999999999997, 0.0586482558139535
137, 0.0598859570661896
138, 0.06211381932021465
139, 0.06384660107334528
140, 0.06557938282647585
141, 0.06557938282647585
142, 0.06607446332737033
143.00000000000003, 0.06706462432915922
143.99999999999997, 0.06607446332737033
145, 0.06582692307692306
146, 0.06533184257602864
147, 0.0643416815742397
148, 0.06260889982110912
149, 0.06186627906976744
150, 0.060133497316636864
151.00000000000003, 0.057905635062611815
151.99999999999997, 0.0554302325581395
153, 0.053697450805008984
154, 0.05122204830053667
155, 0.048746645796064414
156, 0.04577616279069768
157, 0.04404338103756711
158, 0.043795840787119844
158.99999999999997, 0.043300760286225426
160, 0.04181551878354206
161, 0.04181551878354206
162, 0.04280567978533095
163, 0.04231059928443648
164, 0.04280567978533095
165, 0.043548300536672635
166, 0.04478600178890879
166.99999999999997, 0.046518783542039366
168, 0.04825156529516994
169, 0.049736806797853306
170, 0.05047942754919499
171, 0.051717128801431145
172, 0.05394499105545619
173, 0.05518269230769235
174.00000000000003, 0.05567777280858677
174.99999999999997, 0.05691547406082287
176, 0.05889579606440076
177, 0.06211381932021465
178, 0.06211381932021465
179, 0.061371198568872964
180, 0.06062857781753128
181, 0.059143336314847916
182.00000000000003, 0.05815317531305908
182.99999999999997, 0.059143336314847916
184, 0.05939087656529518
185, 0.059143336314847916
186, 0.0574105545617174
187, 0.05567777280858677
188, 0.05394499105545619
189, 0.051964669051878354
189.99999999999997, 0.05072696779964225
190.99999999999997, 0.05047942754919499
192, 0.05023188729874778
193, 0.04998434704830057
194, 0.04825156529516994
195, 0.04825156529516994
196, 0.048746645796064414
197, 0.04701386404293384
197.99999999999997, 0.04726140429338105
199, 0.04825156529516994
200, 0.04924172629695889
201, 0.048499105545617205
202, 0.049736806797853306
203, 0.048499105545617205
204, 0.048746645796064414
205, 0.04775648479427552
205.99999999999997, 0.04726140429338105
207, 0.04800402504472273
208, 0.04750894454382826
209, 0.046766323792486575
210, 0.04577616279069768
211, 0.045528622540250474
212, 0.04478600178890879
213.00000000000003, 0.04429092128801432
213.99999999999997, 0.04280567978533095
215, 0.04206305903398927
216, 0.04107289803220038
217, 0.03983519677996422
218, 0.03859749552772812
219, 0.0393401162790698
220.00000000000003, 0.03983519677996422
221.00000000000003, 0.03983519677996422
222.00000000000003, 0.04082535778175311
223.00000000000003, 0.04132043828264759
224.00000000000003, 0.04280567978533095
225.00000000000003, 0.04280567978533095
226.00000000000003, 0.04181551878354206
227.00000000000003, 0.040577817531305904
228.00000000000003, 0.03884503577817533
229.00000000000003, 0.038349955277280856
230.00000000000003, 0.03810241502683365
231.00000000000003, 0.03760733452593917
232.00000000000003, 0.03760733452593917
233.00000000000003, 0.03760733452593917
234.00000000000003, 0.03884503577817533
235.00000000000003, 0.03983519677996422
236.00000000000003, 0.040577817531305904
237.00000000000003, 0.04231059928443648
238.00000000000003, 0.045033542039356
239.00000000000003, 0.04800402504472273
240.00000000000003, 0.054935152057245085
241.00000000000003, 0.060133497316636864
242.00000000000003, 0.06161873881932023
243.00000000000003, 0.05716301431127013
244.00000000000003, 0.05097450805008946
